Date,High,Low,gold_close
2018/1/1,"1,317.60","1,302.30","1,313.70"
2018/1/2,"1,317.60","1,302.30","1,313.70"
2018/1/3,"1,320.10","1,312.10","1,316.20"
2018/1/4,"1,322.00","1,319.40","1,319.40"
2018/1/5,"1,320.30","1,320.30","1,320.30"
2018/1/8,"1,319.90","1,314.60","1,318.60"
2018/1/9,"1,311.70","1,309.60","1,311.70"
2018/1/10,"1,320.70","1,315.30","1,317.40"
2018/1/11,"1,320.60","1,316.30","1,320.60"
2018/1/12,"1,338.20","1,327.80","1,333.40"
2018/1/16,"1,335.40","1,331.00","1,335.40"
2018/1/17,"1,338.00","1,326.80","1,338.00"
2018/1/18,"1,328.90","1,326.00","1,326.00"
2018/1/19,"1,333.00","1,330.10","1,331.90"
2018/1/22,"1,330.90","1,328.40","1,330.90"
2018/1/23,"1,335.90","1,335.70","1,335.70"
2018/1/24,"1,357.20","1,355.90","1,355.90"
2018/1/25,"1,362.40","1,346.70","1,362.40"
2018/1/26,"1,352.00","1,350.90","1,351.60"
2018/1/29,-,-,-
2018/1/30,"1,347.80","1,332.80","1,335.40"
2018/1/31,"1,346.90","1,331.80","1,339.00"
2018/2/1,"1,350.60","1,336.80","1,344.30"
2018/2/2,"1,352.10","1,327.70","1,333.70"
2018/2/5,"1,340.20","1,329.00","1,333.00"
2018/2/6,"1,343.70","1,319.50","1,326.10"
2018/2/7,"1,331.10","1,310.50","1,311.60"
2018/2/8,"1,321.10","1,307.00","1,316.90"
2018/2/9,"1,322.00","1,311.90","1,313.10"
2018/2/12,"1,325.50","1,318.00","1,324.20"
2018/2/13,"1,329.60","1,323.40","1,328.10"
2018/2/14,"1,355.50","1,324.00","1,355.50"
2018/2/15,"1,355.90","1,349.70","1,352.10"
2018/2/16,"1,361.40","1,344.90","1,353.20"
2018/2/20,"1,350.20","1,328.50","1,328.80"
2018/2/21,"1,331.50","1,324.40","1,330.00"
2018/2/22,"1,331.40","1,322.00","1,330.60"
2018/2/23,"1,332.10","1,327.70","1,328.20"
2018/2/26,"1,340.50","1,330.70","1,330.70"
2018/2/27,"1,332.60","1,312.70","1,315.50"
2018/2/28,"1,321.00","1,315.40","1,315.50"
2018/3/1,"1,318.10","1,301.80","1,302.90"
2018/3/2,"1,323.20","1,314.30","1,321.10"
2018/3/5,"1,325.90","1,318.10","1,318.10"
2018/3/6,"1,333.60","1,321.40","1,333.60"
2018/3/7,"1,338.10","1,326.00","1,326.00"
2018/3/8,"1,326.80","1,319.30","1,319.90"
2018/3/9,"1,322.40","1,313.00","1,322.40"
2018/3/12,"1,319.40","1,319.40","1,319.40"
2018/3/13,"1,325.90","1,325.30","1,325.90"
2018/3/14,"1,324.40","1,322.20","1,324.40"
2018/3/15,"1,316.80","1,316.80","1,316.80"
2018/3/16,"1,311.30","1,310.10","1,311.30"
2018/3/19,"1,316.90","1,307.30","1,316.80"
2018/3/20,"1,311.10","1,311.10","1,311.10"
2018/3/21,"1,328.80","1,312.40","1,320.70"
2018/3/22,"1,326.60","1,326.60","1,326.60"
2018/3/23,"1,349.30","1,343.20","1,349.30"
2018/3/26,"1,354.40","1,345.10","1,354.40"
2018/3/27,"1,341.30","1,341.00","1,341.30"
2018/3/28,"1,346.40","1,322.40","1,324.20"
2018/3/29,"1,327.10","1,321.70","1,322.80"
2018/4/2,"1,344.20","1,324.70","1,342.10"
